Episode,Model,hidden_layers,layer_size,adv_layers,score,mean
3,Dueling-DQN,3,6,0,23.000000,13.250000
4,Dueling-DQN,3,6,0,19.000000,14.400000
5,Dueling-DQN,3,6,0,16.000000,14.666667
6,Dueling-DQN,3,6,0,9.000000,13.857143
7,Dueling-DQN,3,6,0,12.000000,13.625000
8,Dueling-DQN,3,6,0,21.000000,14.444444
9,Dueling-DQN,3,6,0,12.000000,14.200000
10,Dueling-DQN,3,6,0,10.000000,13.818182
11,Dueling-DQN,3,6,0,11.000000,13.583333
12,Dueling-DQN,3,6,0,15.000000,13.692308
13,Dueling-DQN,3,6,0,12.000000,13.571429
14,Dueling-DQN,3,6,0,17.000000,13.800000
15,Dueling-DQN,3,6,0,12.000000,13.687500
16,Dueling-DQN,3,6,0,11.000000,13.529412
17,Dueling-DQN,3,6,0,10.000000,13.333333
18,Dueling-DQN,3,6,0,9.000000,13.105263
19,Dueling-DQN,3,6,0,12.000000,13.050000
0,Dueling-DQN,3,6,1,24.000000,24.000000
1,Dueling-DQN,3,6,1,11.000000,17.500000
2,Dueling-DQN,3,6,1,12.000000,15.666667
3,Dueling-DQN,3,6,1,24.000000,17.750000
4,Dueling-DQN,3,6,1,12.000000,16.600000
5,Dueling-DQN,3,6,1,10.000000,15.500000
6,Dueling-DQN,3,6,1,13.000000,15.142857
7,Dueling-DQN,3,6,1,13.000000,14.875000
8,Dueling-DQN,3,6,1,11.000000,14.444444
9,Dueling-DQN,3,6,1,10.000000,14.000000
10,Dueling-DQN,3,6,1,11.000000,13.727273
11,Dueling-DQN,3,6,1,9.000000,13.333333
12,Dueling-DQN,3,6,1,16.000000,13.538462
13,Dueling-DQN,3,6,1,11.000000,13.357143
14,Dueling-DQN,3,6,1,11.000000,13.200000
15,Dueling-DQN,3,6,1,12.000000,13.125000
16,Dueling-DQN,3,6,1,13.000000,13.117647
17,Dueling-DQN,3,6,1,11.000000,13.000000
18,Dueling-DQN,3,6,1,12.000000,12.947368
19,Dueling-DQN,3,6,1,11.000000,12.850000
0,Dueling-DQN,3,6,2,10.000000,10.000000
1,Dueling-DQN,3,6,2,13.000000,11.500000
2,Dueling-DQN,3,6,2,13.000000,12.000000
3,Dueling-DQN,3,6,2,12.000000,12.000000
4,Dueling-DQN,3,6,2,9.000000,11.400000
5,Dueling-DQN,3,6,2,12.000000,11.500000
6,Dueling-DQN,3,6,2,11.000000,11.428571
7,Dueling-DQN,3,6,2,19.000000,12.375000
8,Dueling-DQN,3,6,2,10.000000,12.111111
9,Dueling-DQN,3,6,2,11.000000,12.000000
10,Dueling-DQN,3,6,2,17.000000,12.454545
11,Dueling-DQN,3,6,2,12.000000,12.416667
12,Dueling-DQN,3,6,2,11.000000,12.307692
13,Dueling-DQN,3,6,2,9.000000,12.071429
14,Dueling-DQN,3,6,2,10.000000,11.933333
15,Dueling-DQN,3,6,2,10.000000,11.812500
16,Dueling-DQN,3,6,2,22.000000,12.411765
17,Dueling-DQN,3,6,2,15.000000,12.555556
18,Dueling-DQN,3,6,2,13.000000,12.578947
19,Dueling-DQN,3,6,2,13.000000,12.600000
0,Dueling-DQN,3,12,0,13.000000,13.000000
1,Dueling-DQN,3,12,0,18.000000,15.500000
2,Dueling-DQN,3,12,0,15.000000,15.333333
3,Dueling-DQN,3,12,0,9.000000,13.750000
4,Dueling-DQN,3,12,0,10.000000,13.000000
5,Dueling-DQN,3,12,0,14.000000,13.166667
6,Dueling-DQN,3,12,0,10.000000,12.714286
7,Dueling-DQN,3,12,0,10.000000,12.375000
8,Dueling-DQN,3,12,0,19.000000,13.111111
9,Dueling-DQN,3,12,0,17.000000,13.500000
10,Dueling-DQN,3,12,0,15.000000,13.636364
11,Dueling-DQN,3,12,0,13.000000,13.583333
12,Dueling-DQN,3,12,0,14.000000,13.615385
13,Dueling-DQN,3,12,0,11.000000,13.428571
14,Dueling-DQN,3,12,0,16.000000,13.600000
15,Dueling-DQN,3,12,0,23.000000,14.187500
16,Dueling-DQN,3,12,0,10.000000,13.941176
17,Dueling-DQN,3,12,0,18.000000,14.166667
18,Dueling-DQN,3,12,0,10.000000,13.947368
19,Dueling-DQN,3,12,0,15.000000,14.000000
0,Dueling-DQN,3,12,1,11.000000,11.000000
1,Dueling-DQN,3,12,1,10.000000,10.500000
2,Dueling-DQN,3,12,1,14.000000,11.666667
3,Dueling-DQN,3,12,1,19.000000,13.500000
4,Dueling-DQN,3,12,1,13.000000,13.400000
5,Dueling-DQN,3,12,1,9.000000,12.666667
